! 0 LDraw to BrickLink mappings. CC-0 licensed
10199 4672
10201 2436b
10314 6191
10498 90641
10830 10830c01
10830p01 10830c01
11153 61678
12825 2555
13670 6587
13731 85970
14395 2339
14533 90640
14696 3711
14769p07 14769pb011
15207 30413
15379 3873
15556 64567
15646 90202
15672 92946
15712 2555
16091 30663
167 6190
17514 88000
18228 98385
18575 32269
18626 4025
18738 30193
18759 2341
19475-f1 19475c01
19478-f1 19467c01
20430 6259
21709 30394
21731 93274
22749 32190
22750 32191
22972 32188
22973 32189
23065 41250
23221 x153
23893 87580
2431p70 2431pb499
2436a 2436
24505 3648
2454b 2454
2476a 2476
2533c01 x110c01
2543 x70
25866c01 93094c01
25866c02 93094c02
25866c03 93094c03
2588 2888
2654a 2654
26674-f1 bb875
27059 90541
2714 2714a
2723 2958
2748 3857
28290 56890
28618 6126b
28653 3023
28738 bb0892c01
28809 18677
28920 13770
2894c01 590
28959 43892
28964 76766
29219 62462
298 4592
30007 4215
30008 3024
30009 2362b
30010 4865
30039 3070b
30057 4073
30059 4346
3005pf0 3005pb016
30060 4345
30061 4218
30063 4740
30065 3960
30068 3062b
30069 4070
30070 3069b
30071 3005
30089a 30089
30124 2446
30125 4533
30130 6133
30224 x59
30234 4285b
30244 2412b
30258p01 30258pb001
30259 892
30296p01 30296px1
30320 30117
30337 6192
30345 989
30367 553a
30367b 553b
30367c 553c
30369 x52
30370 x164
30385 52
3039p04 3039px16
3039p101 3039ps1
3039pc8 3039pb013
3039pc9 3039pb045
3040b 3040
3046 3046a
30475 x161
30480 x134
30499 3684a
30561 x132
30646 30646a
3068bp00 3068bpb0116
3069bp0i 3069bpb436
3069bp12 3069p12
3069p25 3069bp25
30 70644
30741 62576
31459 3011
31460 3437
3149d 3149
314d 314
31511 98585
32005 2739a
32006 2825
32064a 32064
32086 551
32123 4265c
32123a 4265c
32126 44
32239 6588
32277 41239
32294 x136
3245a 3245b
32476 x240
32495c01 x873c01
32496 x873
32531 40344
32532 40345
32532b 40345
33122 x112
33176 x12
33299a 33299
33763 78c26
34432 3649
35331 87606
35334 2447
35338 54200
35343 22388
35382 3005
35386 3069b
3648b 3648
3650c 3650b
3660b 3660
3665b 3665
3729 3731
37364 970cm00
3747 3747a
3815 970
3815b 970
3816 971
3816b 971
3817 972
3817b 972
3818 982
3819 981
3820 983
3957a 3957
40240 x219
4032a 4032
40620 71137b
41357 40249
41669 x346
41751 x224
41761 42021
41762 42022
41763 42023
42019 41749
42020 41750
4210a 194
42114 x156
42284 30293
42291 30294
42409 x789
42534 41539
42657 4066
4268 353
4275b 4275
4276b 4276
4287a 4287
4287b 4287
4287c 4287
43127 2419
4328 x93
43337 30413
4345b 4345
43675 78c19
43802 4201
44041 4204
44042 2356
44237 2456
44360 x181
44590 3754
4476 4476b
44882 43898
4503 x167
45505 3622
46361 30562
46667 x577
47223d-f1 4694cc01
4770 4773
47904 30602
482 30553
48310 47543
4865a 4865
48729a 48729
48729b 48729
49673 49668
50231 522
50746 54200
50903 x1307
50951 50945
51000 x1435
51011 42611
51373 50990
51595 30225
51930 41250
52211 3471
52639 6510
52901 2958
53454 53705
53933 30293
53934 30294
54196 2654
55295 6246b
55298 6246a
55299 6246e
55300 6246d
55539 42604
55709 32199
56204 45411
56640 43898
56907 x1825
57488 32558
577 64567
577b 64567
578 30374
58120 58120c01
58121 58121c01
58123 58123c01
58572 4094
58772 44359
58773 44359
59195 45705
59350 59349
59426 32209
59443 6538c
59858 x167
59900 4589b
60033 4202
6014c02 6014bc05
60169 30104
60288 57587
604547 11402h
604548 11402c
604549 11402b
604550 11402a
604551 11402g
604552 11402i
604553 11402d
604614 11402f
604615 11402e
60470a 60470
60475 30241
60475b 30241b
60616a 60616
60801 60583
60803 57895
60897 4085d
6090 x41
6093 x104
6098 3867
6116 3941
61183 43753
6141 4073
6143 3941
6188 4589
61903 62520c01
61929 bb339c01
6218 6259
6221 424
6223 3003
6225 3023
6227 3039
6234 600
6237 601
6255 x8
62622 4738a
62623 4739a
6264 3899
6269 2343
6270 3040
62808 40359a
62821 62821b
62930 54930c02
63965a 63965
64228 87513c01
64288 4589b
64289 40490
64290 32525
64634 62576
64871 32278
6562 3749
6590 3713
70358 590
70973 48245
71014 59
71076a 71075
71128 x85
71137 71137b
71874 4740
71944 78c06
71951 78c08
71952 78c04
71986 78c11
72039 78c18
72040 71612cx1
72504 78c02
72706 78c03
72824 x45
731 731c02
73603 3403c01
74695 60483
75347 6168c01
75974 67c01
75977 30086
76116 98313
76324 75c09
76385 989
769 23318
85543 x71
85544 x37
85545 x89
85546 x90
86035 4485b
86209 60601
86210 60603
88072 4623b
88323 57518
88412 3878
88415 2446
88422 42511
88513 53451
89650 61053
90194 48183
90508 90301
90510 30171
91143 2431
92290 92289
92410 4532
92411 44728
92538 3006
92693c01-f1 92693c01
92756 30410
92903 6005
! 93221 LDraw has only one version
93221 93221pb01
93549 93549pb01
93791 2654
93792 3004
93794 2555
! 93888 Unoffical LDraw part
93888 3007
94148 3022
94638 87552
95820 30237b
96910 99563
973p101 973ps1
975 982
976 981
977 983
98313 53989
99498 99498c01
u9026 3062old
x223 33320
